,PLAYER,TEAM,FGM,FGA,FTM,FTA,3PM,PTS,TREB,AST,STL,BLK,TO
0,Nikola Jokic,DEN,10.6,17.5,6.3,7.4,2.1,29.6,12.2,10.9,1.4,0.8,3.5
1,Shai Gilgeous-Alexander,OKC,10.8,19.7,8.3,9.3,2.0,31.8,4.4,6.2,1.3,0.8,2.0
2,Kawhi Leonard,LAC,9.7,19.6,5.9,6.2,2.9,28.2,6.2,3.5,2.2,0.6,2.1
3,Tyrese Maxey,PHI,10.6,22.3,5.5,6.3,3.7,30.3,4.4,6.7,1.9,1.0,2.5
4,Victor Wembanyama,SA,8.5,16.5,5.8,6.9,1.7,24.5,10.9,3.0,0.8,2.6,2.8
5,Stephen Curry,GS,9.1,19.4,4.9,5.2,4.5,27.6,3.8,4.9,1.1,0.5,2.8
6,Luka Doncic,LAL,10.5,22.5,9.0,11.5,3.5,33.3,7.5,8.6,1.5,0.5,4.5
7,Donovan Mitchell,CLE,10.2,20.8,5.0,5.9,3.9,29.2,4.8,5.7,1.5,0.3,3.1
8,James Harden,LAC,7.4,17.6,7.7,8.6,3.2,25.8,4.7,8.1,1.3,0.3,3.6
9,Cade Cunningham,DET,9.0,19.7,5.9,7.2,2.0,25.9,6.0,9.6,1.5,0.8,3.9
10,Giannis Antetokounmpo,MIL,10.9,16.9,6.4,9.8,0.6,28.8,9.5,5.5,0.9,0.8,3.3
11,Austin Reaves,LAL,8.2,16.2,7.5,8.6,2.7,26.6,5.2,6.3,1.0,0.2,3.3
12,Jamal Murray,DEN,9.3,18.9,4.1,4.5,3.4,25.9,4.4,7.3,1.0,0.3,2.4
13,Jalen Johnson,ATL,8.5,16.6,4.2,5.4,1.6,22.8,10.1,8.0,1.3,0.5,3.5
14,Kevin Durant,HOU,9.2,17.9,5.6,6.3,2.2,26.1,5.4,4.6,0.8,0.9,3.0
15,Walker Kessler,UTA,5.2,7.4,2.8,4.0,1.2,14.4,10.8,3.0,1.4,1.8,3.2
16,Lauri Markkanen,UTA,9.5,19.7,6.0,6.8,2.9,27.9,7.2,2.2,1.0,0.5,1.6
17,Anthony Edwards,MIN,10.2,20.3,5.7,7.2,3.5,29.6,4.9,3.7,1.3,0.8,2.7
18,Trey Murphy III,NO,7.8,15.7,3.4,3.8,3.2,22.2,6.1,3.6,1.6,0.3,1.9
19,Scottie Barnes,TOR,7.6,15.3,3.3,4.0,1.1,19.6,8.3,5.4,1.3,1.4,2.6
20,Keyonte George,UTA,7.5,16.3,6.3,7.0,2.5,23.8,4.0,6.8,1.0,0.3,3.4
21,Michael Porter Jr.,BKN,9.1,18.7,3.8,4.4,3.8,25.8,7.5,3.2,1.0,0.2,2.6
22,Derrick White,BOS,6.2,15.7,2.6,2.9,3.1,18.1,4.5,5.4,1.3,1.6,1.9
23,Chet Holmgren,OKC,6.7,11.7,3.0,3.9,1.3,17.8,8.5,1.6,0.6,2.0,1.7
24,Karl-Anthony Towns,NY,6.8,14.5,5.7,6.6,1.7,20.9,11.5,2.9,0.9,0.7,2.6
25,Deni Avdija,POR,8.0,17.0,7.9,9.9,2.3,26.2,7.1,6.9,0.9,0.6,3.9
26,Anthony Davis,DAL,8.5,16.7,3.0,4.1,0.5,20.4,11.1,2.8,1.1,1.7,2.1
27,Kevin Porter Jr.,MIL,6.0,13.4,3.5,4.2,1.7,17.1,5.0,7.5,2.2,0.4,3.3
28,Jimmy Butler III,GS,6.3,12.2,6.6,7.6,0.9,20.1,5.6,4.9,1.4,0.2,1.6
29,Mikal Bridges,NY,6.5,12.7,0.9,1.1,2.3,16.1,4.5,4.2,1.6,0.9,1.0
30,Jalen Brunson,NY,10.1,20.9,5.1,6.0,3.0,28.2,3.2,6.1,0.7,0.1,2.3
31,Zach Edey,MEM,5.6,8.9,2.3,2.9,0.1,13.6,11.1,1.1,0.6,1.9,2.4
32,Alperen Sengun,HOU,8.4,16.5,4.1,5.8,0.6,21.6,9.2,6.3,1.5,1.0,3.3
33,Evan Mobley,CLE,6.8,13.2,3.0,4.7,1.2,17.8,8.6,4.1,1.0,1.9,2.2
34,LeBron James,LAL,8.3,16.3,4.5,5.9,1.6,22.7,5.9,6.9,1.1,0.7,2.7
35,Jaylen Brown,BOS,10.9,22.2,5.8,7.3,2.2,29.7,6.4,4.8,1.0,0.4,3.7
36,Joel Embiid,PHI,8.1,17.1,6.7,7.9,1.1,24.0,6.9,3.3,0.6,1.2,3.0
37,Tyler Herro,MIA,8.2,16.5,3.4,3.7,2.2,21.9,4.7,2.7,1.0,0.5,1.5
38,Norman Powell,MIA,7.9,16.4,4.8,5.7,3.1,23.8,3.8,2.7,1.3,0.2,1.9
39,Josh Giddey,CHI,6.7,14.3,4.0,5.3,1.9,19.2,9.0,9.0,0.9,0.4,3.6
40,LaMelo Ball,CHA,7.0,16.8,2.5,2.9,3.4,19.9,5.0,7.6,1.2,0.2,3.2
41,Onyeka Okongwu,ATL,6.2,12.7,2.1,2.7,2.0,16.4,7.9,3.4,1.2,1.0,1.9
42,Julius Randle,MIN,7.8,15.7,5.3,6.6,1.6,22.5,7.1,5.4,1.1,0.2,2.5
43,Devin Booker,PHO,8.2,18.2,7.2,8.3,1.6,25.3,4.0,6.4,0.9,0.3,3.3
44,Jalen Suggs,ORL,5.3,11.2,2.6,3.0,1.9,15.0,3.7,4.7,1.9,0.5,2.7
45,Nikola Vucevic,CHI,7.0,13.9,1.1,1.4,1.8,17.0,9.2,3.8,0.7,0.6,1.4
46,Amen Thompson,HOU,7.2,14.0,3.8,4.8,0.4,18.6,7.7,5.1,1.3,0.5,2.6
47,Alexandre Sarr,WAS,6.8,13.6,2.2,3.3,0.9,16.8,7.5,2.8,0.7,2.2,1.9
48,Kon Knueppel,CHA,6.6,13.6,2.4,2.7,3.4,19.0,5.3,3.5,0.7,0.2,2.2
49,Cooper Flagg,DAL,7.2,15.0,3.5,4.3,1.0,18.8,6.3,4.2,1.3,0.8,2.2
50,DeMar DeRozan,SAC,6.8,13.5,4.5,5.2,0.8,19.0,3.3,4.0,1.4,0.3,1.1
51,Nickeil Alexander-Walker,ATL,7.0,15.8,3.3,3.8,3.0,20.4,3.6,3.4,1.1,0.6,2.0
52,Franz Wagner,ORL,7.6,15.8,5.5,6.6,1.5,22.2,6.1,3.6,1.1,0.3,1.8
53,Brandon Ingram,TOR,8.1,17.2,3.8,4.5,1.7,21.7,6.0,3.8,0.8,0.8,2.8
54,Rudy Gobert,MIN,4.5,6.4,1.9,3.8,0.0,11.0,11.4,1.8,0.7,1.6,1.4
