,PLAYER,TEAM,FGM,FGA,FTM,FTA,3PM,PTS,TREB,AST,STL,BLK,TO
0,Nikola Jokic,DEN,10.6,17.5,6.3,7.4,2.1,29.6,12.2,10.9,1.4,0.8,3.5
1,Shai Gilgeous-Alexander,OKC,10.9,19.7,8.2,9.2,1.9,32.0,4.4,6.3,1.3,0.8,2.0
2,Kawhi Leonard,LAC,9.7,19.6,5.9,6.2,2.9,28.2,6.2,3.5,2.2,0.6,2.1
3,Tyrese Maxey,PHI,10.5,22.4,5.4,6.2,3.6,30.0,4.3,6.7,2.1,1.0,2.5
4,Victor Wembanyama,SA,8.4,16.7,5.7,6.8,1.8,24.4,10.8,2.9,0.8,2.5,2.7
5,Luka Doncic,LAL,10.5,22.5,9.0,11.5,3.4,33.5,7.7,8.7,1.6,0.5,4.4
6,Stephen Curry,GS,8.9,19.1,4.7,5.1,4.5,27.1,3.7,5.1,1.1,0.5,2.8
7,James Harden,LAC,7.5,17.8,7.9,8.8,3.1,26.0,4.8,8.0,1.3,0.4,3.6
8,Giannis Antetokounmpo,MIL,10.7,16.5,6.3,9.7,0.5,28.2,9.9,5.6,0.9,0.8,3.3
9,Jamal Murray,DEN,9.3,19.0,4.1,4.5,3.4,26.0,4.4,7.4,1.0,0.3,2.3
10,Austin Reaves,LAL,8.2,16.2,7.5,8.6,2.7,26.6,5.2,6.3,1.0,0.2,3.3
11,Donovan Mitchell,CLE,10.0,20.7,5.1,6.1,3.8,28.9,4.8,5.7,1.5,0.2,3.1
12,Cade Cunningham,DET,8.9,19.6,6.0,7.3,1.9,25.7,5.9,9.8,1.4,0.8,3.8
13,Kevin Durant,HOU,9.1,17.8,5.5,6.2,2.2,25.9,5.4,4.6,0.8,0.9,3.1
14,Walker Kessler,UTA,5.2,7.4,2.8,4.0,1.2,14.4,10.8,3.0,1.4,1.8,3.2
15,Jalen Johnson,ATL,8.6,16.8,4.3,5.5,1.6,23.2,10.3,8.0,1.2,0.5,3.5
16,Anthony Edwards,MIN,10.3,20.5,5.8,7.3,3.5,29.9,5.0,3.7,1.3,0.8,2.6
17,Lauri Markkanen,UTA,9.5,19.7,6.0,6.8,2.9,27.9,7.2,2.2,1.0,0.5,1.6
18,Scottie Barnes,TOR,7.7,15.4,3.3,4.0,1.0,19.8,8.2,5.6,1.4,1.3,2.6
19,Trey Murphy III,NO,7.8,15.8,3.4,3.8,3.1,22.0,6.0,3.6,1.6,0.3,2.0
20,Keyonte George,UTA,7.7,16.7,6.5,7.2,2.6,24.4,3.9,6.7,1.0,0.3,3.5
21,Karl-Anthony Towns,NY,6.8,14.5,5.5,6.4,1.7,20.8,11.5,3.0,0.9,0.7,2.6
22,Chet Holmgren,OKC,6.7,11.7,3.0,3.9,1.4,17.8,8.4,1.6,0.6,2.0,1.7
23,Michael Porter Jr.,BKN,9.0,18.6,3.6,4.2,3.8,25.3,7.4,3.2,1.0,0.2,2.6
24,Derrick White,BOS,6.0,15.5,2.6,2.9,2.9,17.6,4.6,5.4,1.3,1.5,1.8
