,PLAYER,TEAM,FGM,FGA,FTM,FTA,3PM,PTS,TREB,AST,STL,BLK,TO
0,Nikola Jokic,DEN,10.6,17.5,6.3,7.4,2.1,29.6,12.2,10.9,1.4,0.8,3.5
1,Shai Gilgeous-Alexander,OKC,11.0,19.6,8.0,9.0,2.1,32.1,4.6,6.4,1.5,0.6,1.9
2,Kawhi Leonard,LAC,9.8,19.7,6.0,6.3,2.7,28.3,6.3,3.4,2.2,0.7,2.0
3,Victor Wembanyama,SA,8.5,16.2,5.8,6.9,1.5,24.3,11.7,3.4,0.8,2.9,3.2
4,Tyrese Maxey,PHI,10.8,22.7,5.7,6.5,3.7,31.1,4.6,7.1,1.8,0.9,2.6
5,Luka Doncic,LAL,10.3,22.4,9.7,12.1,3.3,33.6,8.1,8.7,1.6,0.6,4.5
6,Stephen Curry,GS,9.3,19.8,5.4,5.8,4.8,28.8,3.9,4.3,1.2,0.5,3.1
7,Jalen Johnson,ATL,8.8,16.8,4.6,5.8,1.7,24.0,10.2,8.5,1.4,0.5,3.5
8,Cade Cunningham,DET,9.3,20.0,6.0,7.3,2.0,26.6,6.3,9.7,1.5,0.8,4.0
9,Donovan Mitchell,CLE,10.5,21.1,4.9,5.9,3.9,29.8,4.7,5.5,1.5,0.3,3.2
10,Giannis Antetokounmpo,MIL,11.0,17.3,6.3,9.7,0.5,29.0,10.0,5.7,0.9,0.8,3.3
11,Kevin Durant,HOU,9.0,17.2,5.6,6.3,2.1,25.7,4.9,4.6,0.8,1.0,3.2
12,James Harden,LAC,7.4,17.1,7.6,8.6,3.3,25.7,4.8,8.0,1.2,0.3,3.6
13,Austin Reaves,LAL,8.2,16.2,7.5,8.6,2.7,26.6,5.2,6.3,1.0,0.2,3.3
14,Scottie Barnes,TOR,7.5,14.8,2.9,3.5,1.2,19.1,8.6,5.3,1.4,1.5,2.6
15,Anthony Edwards,MIN,9.9,19.8,6.3,7.7,3.2,29.3,5.0,3.7,1.4,0.8,2.8
16,Walker Kessler,UTA,5.2,7.4,2.8,4.0,1.2,14.4,10.8,3.0,1.4,1.8,3.2
17,Lauri Markkanen,UTA,9.4,19.7,6.2,6.8,2.9,27.9,6.9,2.1,1.0,0.4,1.3
18,Jamal Murray,DEN,9.0,18.7,3.9,4.4,3.5,25.4,4.5,6.9,1.0,0.3,2.2
19,Karl-Anthony Towns,NY,7.0,14.9,6.2,7.0,1.8,22.0,11.8,2.9,0.9,0.7,2.4
20,Kevin Porter Jr.,MIL,6.3,13.6,3.8,4.4,2.0,18.3,5.2,7.6,2.3,0.4,3.3
21,Keyonte George,UTA,7.6,16.9,6.6,7.3,2.7,24.5,4.2,6.9,0.9,0.3,3.5
22,Trey Murphy III,NO,7.2,14.7,3.4,3.7,2.7,20.5,6.1,3.5,1.6,0.2,1.9
23,Anthony Davis,DAL,8.4,16.2,2.9,4.1,0.6,20.4,10.8,2.8,1.2,1.7,2.0
24,Derrick White,BOS,6.4,15.8,2.7,3.1,3.3,18.7,4.3,5.3,1.4,1.5,1.9
25,Chet Holmgren,OKC,6.8,11.9,3.1,3.8,1.4,18.2,8.2,1.6,0.6,1.8,2.0
26,Tyler Herro,MIA,8.3,16.5,4.0,4.3,2.5,23.2,5.0,2.3,1.0,0.5,1.2
27,Michael Porter Jr.,BKN,9.2,18.5,3.7,4.5,3.8,25.8,7.5,3.3,0.9,0.2,2.3
28,Alperen Sengun,HOU,8.3,16.3,4.4,6.0,0.7,21.8,9.0,6.5,1.5,1.0,3.3
29,Mikal Bridges,NY,6.5,12.7,0.9,1.2,2.3,16.2,4.6,4.4,1.7,0.9,1.1
30,Jaylen Brown,BOS,11.1,21.7,5.8,7.5,2.1,30.1,6.3,5.0,1.1,0.4,3.6
31,Jalen Brunson,NY,10.4,21.8,5.5,6.5,3.0,29.3,3.3,6.5,0.8,0.1,2.2
32,Jrue Holiday,POR,6.2,13.8,1.8,2.1,2.6,16.7,5.3,8.2,1.6,0.3,2.9
33,Jimmy Butler III,GS,6.0,11.6,6.7,7.8,0.8,19.5,5.5,5.0,1.4,0.2,1.6
34,Zach Edey,MEM,5.6,8.9,2.3,2.9,0.1,13.6,11.1,1.1,0.6,1.9,2.4
35,Alexandre Sarr,WAS,7.3,14.4,2.0,3.0,1.1,17.6,8.0,3.0,0.8,2.4,1.8
36,Deni Avdija,POR,7.8,16.8,7.8,9.8,2.3,25.7,7.3,7.1,0.8,0.6,3.9
37,Norman Powell,MIA,8.0,16.6,5.3,6.1,2.9,24.1,3.8,2.6,1.3,0.2,2.0
38,Devin Booker,PHO,8.5,18.5,7.0,8.2,1.7,25.7,4.1,6.3,1.0,0.4,3.5
39,Kel'el Ware,MIA,4.8,8.6,1.5,1.8,1.3,12.3,10.6,0.5,1.0,1.3,1.0
40,Josh Giddey,CHI,6.7,14.3,4.0,5.3,1.9,19.2,9.0,9.0,0.9,0.4,3.6
41,Julius Randle,MIN,7.6,15.6,5.5,6.7,1.6,22.3,7.1,5.7,1.1,0.2,2.6
42,LaMelo Ball,CHA,6.8,16.7,2.9,3.4,3.2,19.8,5.2,8.2,1.2,0.2,3.4
43,Evan Mobley,CLE,6.7,13.4,3.2,5.0,1.3,17.8,9.1,4.0,0.9,1.8,2.1
44,Amen Thompson,HOU,7.2,13.8,3.3,4.1,0.4,18.0,7.4,5.2,1.4,0.6,2.5
45,Franz Wagner,ORL,7.8,15.9,5.6,6.8,1.5,22.7,6.1,3.7,1.2,0.4,1.8
46,Ryan Rollins,MIL,6.6,13.7,1.7,2.2,2.5,17.4,4.2,5.8,1.6,0.4,2.4
47,De'Aaron Fox,SA,7.8,16.3,3.8,4.8,2.2,21.7,3.8,5.8,1.4,0.3,2.5
48,Jalen Suggs,ORL,5.3,11.2,2.6,3.0,1.9,15.0,3.7,4.7,1.9,0.5,2.7
49,Kristaps Porzingis,ATL,6.0,12.5,4.1,4.9,1.7,17.9,5.5,2.9,0.5,1.4,1.0
50,Josh Hart,NY,4.6,9.3,1.5,1.8,1.6,12.3,8.1,5.1,1.4,0.3,2.1
51,Onyeka Okongwu,ATL,6.1,12.5,2.2,2.8,1.9,16.2,7.7,3.3,1.0,1.0,1.9
52,DeMar DeRozan,SAC,6.6,13.1,4.5,5.1,0.8,18.5,3.4,3.8,1.4,0.3,1.1
53,Joel Embiid,PHI,7.6,16.9,6.6,7.9,1.0,22.8,6.8,3.4,0.6,1.3,2.6
54,OG Anunoby,NY,5.4,12.0,2.7,3.3,2.1,15.5,5.6,2.2,1.8,0.8,2.1
55,Jalen Duren,DET,7.0,11.0,4.0,5.5,0.0,17.9,10.6,1.7,0.9,0.9,2.3
56,Kon Knueppel,CHA,6.7,13.9,2.5,2.8,3.6,19.4,5.1,3.5,0.6,0.2,2.4
57,Cooper Flagg,DAL,7.2,15.1,3.6,4.4,0.9,18.9,6.4,4.1,1.2,0.8,2.2
58,Nickeil Alexander-Walker,ATL,7.1,15.9,3.4,4.0,3.0,20.7,3.4,3.2,1.0,0.6,2.1
59,Aaron Gordon,DEN,6.3,11.8,4.0,4.6,2.2,18.8,5.9,1.3,0.8,0.2,1.4
60,Collin Gillespie,PHO,5.0,11.2,1.0,1.2,3.0,14.0,4.0,5.1,1.4,0.3,1.9
61,Mark Williams,PHO,4.9,7.4,3.0,3.8,0.0,12.8,8.2,1.1,1.2,0.9,1.0
62,Brandon Ingram,TOR,8.3,17.6,3.9,4.8,1.8,22.3,6.0,3.7,0.8,0.7,2.9
63,Nikola Vucevic,CHI,6.7,13.3,1.2,1.5,1.8,16.5,8.9,3.5,0.7,0.4,1.5
64,Jalen Williams,OKC,6.6,14.5,2.9,3.4,0.8,16.9,5.3,5.4,1.6,0.4,1.9
65,Rudy Gobert,MIN,4.5,6.4,2.0,3.8,0.0,11.1,11.0,1.8,0.6,1.6,1.3
66,Deandre Ayton,LAL,6.7,9.5,0.9,1.5,0.0,14.3,8.5,0.8,0.9,0.9,1.8
67,Trae Young,ATL,5.6,13.5,6.3,7.3,1.8,19.3,1.5,8.9,1.0,0.1,2.6
68,Ivica Zubac,LAC,6.6,11.0,2.0,2.8,0.0,15.2,11.0,2.4,0.4,1.0,1.9
69,Kyshawn George,WAS,5.4,11.7,1.9,2.6,2.2,15.0,5.7,5.1,1.0,0.9,3.1
70,Desmond Bane,ORL,6.9,15.5,3.5,3.7,1.7,18.9,4.6,4.6,0.7,0.5,2.1
71,Andrew Wiggins,MIA,6.4,13.5,1.7,2.3,1.9,16.3,4.9,2.9,1.2,1.1,1.6
