,PLAYER,TEAM,FGM,FGA,FTM,FTA,3PM,PTS,TREB,AST,STL,BLK,TO
102,Derik Queen,NO,4.7,9.7,2.6,3.3,0.2,12.2,7.4,4.4,1.0,0.9,2.5
103,Jusuf Nurkic,UTA,4.6,9.0,1.5,2.7,0.6,11.2,10.2,5.0,1.3,0.5,2.4
104,Russell Westbrook,SAC,5.7,13.0,2.1,2.9,2.0,15.4,6.0,6.7,1.4,0.2,3.4
105,John Collins,LAC,5.2,9.3,1.6,2.0,1.4,13.4,4.9,0.8,0.9,0.8,1.4
106,Paolo Banchero,ORL,7.1,15.6,5.9,7.7,1.1,21.1,8.6,4.9,0.7,0.6,2.9
107,Andrew Nembhard,IND,6.2,13.8,3.4,4.2,1.9,17.7,2.8,7.3,0.9,0.1,2.4
108,Jaylon Tyson,CLE,5.2,10.1,1.3,1.7,2.1,13.7,5.5,2.2,0.9,0.5,1.5
109,Cam Spencer,MEM,3.9,8.1,1.9,2.0,2.3,12.0,2.7,5.5,0.7,0.1,1.5
110,Myles Turner,MIL,4.0,9.5,2.0,2.7,2.2,12.3,5.4,1.6,0.6,1.6,1.0
111,Isaiah Stewart,DET,3.9,7.3,1.6,2.1,0.8,10.2,5.7,1.2,0.3,2.0,1.2
112,Ryan Kalkbrenner,CHA,3.7,4.8,1.3,1.8,0.0,8.7,6.2,0.6,0.6,1.5,1.0
113,Quentin Grimes,PHI,4.2,9.8,2.8,3.3,2.0,13.3,3.9,3.7,1.0,0.5,2.0
114,Aaron Gordon,DEN,6.0,11.9,3.7,4.7,1.8,17.7,6.2,2.5,0.7,0.1,1.0
115,Luke Kornet,SA,3.2,4.9,1.8,2.2,0.0,8.1,6.9,1.9,0.4,1.3,0.5
116,Jay Huff,IND,3.1,6.6,0.9,1.0,1.4,8.4,3.7,1.3,0.5,2.0,0.8
117,Shaedon Sharpe,POR,8.2,18.1,3.3,4.3,2.1,21.9,4.6,2.7,1.5,0.1,3.1
118,Wendell Carter Jr.,ORL,4.3,8.5,2.4,3.1,1.2,12.2,7.5,2.2,0.7,0.8,1.3
119,P.J. Washington,DAL,5.3,11.8,2.2,3.3,1.3,14.1,7.2,1.8,1.1,1.4,2.1
120,Reed Sheppard,HOU,4.8,10.9,0.9,1.2,2.5,13.1,2.5,3.1,1.4,0.5,1.2
121,Kelly Oubre Jr.,PHI,5.4,11.0,2.0,2.7,1.9,14.6,4.6,1.5,1.2,0.7,1.4
122,Ayo Dosunmu,CHI,5.3,10.4,1.8,2.2,1.9,14.3,2.7,3.5,0.7,0.3,1.2
123,Cedric Coward,MEM,5.1,10.7,2.3,2.7,1.6,14.0,6.4,2.9,0.6,0.4,1.7
124,Tari Eason,HOU,4.5,9.4,0.7,1.1,2.1,11.7,6.1,1.6,1.3,0.6,1.7
125,Anthony Black,ORL,5.6,12.3,2.7,3.8,1.6,15.6,4.1,4.0,1.3,0.7,2.4
126,Bennedict Mathurin,IND,5.6,13.2,4.4,5.0,2.2,17.8,5.5,2.2,0.7,0.2,2.4
127,Naji Marshall,DAL,5.4,9.8,3.0,3.9,0.9,14.7,4.9,3.0,1.1,0.1,1.4
128,Santi Aldama,MEM,5.3,11.1,1.8,2.6,1.6,14.0,6.7,3.0,0.9,0.7,1.3
129,Jabari Smith Jr.,HOU,5.5,12.9,2.0,2.7,2.2,15.3,6.9,1.9,0.7,0.9,1.3
130,Dillon Brooks,PHO,7.5,17.1,3.0,3.5,2.4,20.4,3.5,1.7,1.1,0.2,1.9
131,Royce O'Neale,PHO,3.6,8.4,0.3,0.5,2.8,10.3,5.0,3.0,1.2,0.3,1.6
132,Devin Vassell,SA,5.2,12.4,1.8,2.2,2.6,14.9,3.9,2.4,0.9,0.5,0.9
133,Sam Merrill,CLE,4.5,9.6,1.3,1.4,3.5,13.8,2.4,2.3,0.7,0.1,0.9
134,Julian Champagnie,SA,3.8,8.8,1.7,2.0,2.5,11.7,6.2,1.5,0.9,0.4,1.0
135,Coby White,CHI,6.1,13.5,4.1,5.1,2.6,18.8,3.5,4.7,0.7,0.1,3.1
136,Robert Williams III,POR,2.6,3.6,0.6,0.8,0.1,6.0,6.3,1.0,0.6,1.3,0.6
137,Collin Sexton,CHA,5.0,10.1,3.5,3.9,1.3,14.8,1.9,3.9,0.9,0.1,2.2
138,Obi Toppin,IND,5.0,12.0,3.0,3.0,1.0,14.0,6.7,1.7,1.0,0.0,2.0
139,Derrick Jones Jr.,LAC,3.8,6.9,1.4,1.8,1.3,10.4,2.6,1.2,0.8,1.1,0.8
140,Matisse Thybulle,POR,1.5,2.5,1.0,1.0,1.0,5.0,1.0,0.8,2.5,0.0,0.3
141,Max Christie,DAL,4.5,9.4,1.6,1.9,2.6,13.3,3.5,2.2,0.5,0.3,1.1
142,CJ McCollum,ATL,6.8,15.1,2.4,3.1,2.5,18.5,3.4,3.6,0.7,0.3,1.6
143,Saddiq Bey,NO,5.5,12.2,3.2,3.9,1.7,15.9,5.7,2.3,0.9,0.0,0.6
144,Toumani Camara,POR,4.6,10.7,1.3,1.8,2.5,13.0,5.1,2.7,1.0,0.5,2.0
145,Daniel Gafford,DAL,2.9,4.7,1.8,2.3,0.0,7.6,6.4,0.8,0.7,1.3,1.3
146,Draymond Green,GS,3.1,7.4,0.9,1.3,1.4,8.5,5.8,5.2,0.9,0.7,2.8
147,Ausar Thompson,DET,4.4,8.6,1.9,3.3,0.1,10.8,6.0,2.7,1.7,0.8,1.5
148,Stephon Castle,SA,5.5,12.3,4.5,6.2,1.1,16.5,5.0,7.0,1.3,0.3,3.5
149,Jaime Jaquez Jr.,MIA,6.2,11.9,2.5,3.3,0.5,15.3,5.3,4.7,0.8,0.2,2.2
150,Brandin Podziemski,GS,4.4,9.4,1.7,2.3,1.8,12.2,4.4,3.4,1.2,0.2,1.4
151,Keldon Johnson,SA,5.1,9.2,2.1,2.7,1.2,13.5,5.9,1.3,0.7,0.1,0.9
152,Dereck Lively II,DAL,1.6,2.6,1.1,1.4,0.0,4.3,5.3,1.9,0.6,1.6,1.4
153,Sandro Mamukelashvili,TOR,4.2,8.0,1.3,1.9,1.3,11.1,5.1,2.0,0.7,0.6,0.8
154,RJ Barrett,TOR,7.1,14.4,2.9,4.3,1.8,19.0,5.1,3.6,0.8,0.2,1.6
155,Goga Bitadze,ORL,2.5,3.6,1.0,1.3,0.1,5.9,5.2,1.2,0.8,1.2,0.6
156,T.J. McConnell,IND,4.5,8.4,0.4,0.4,0.3,9.6,2.2,4.9,1.2,0.2,1.2
157,Al Horford,GS,2.5,6.3,0.4,0.4,1.6,6.9,5.0,2.0,0.8,1.0,0.9
