,PLAYER,TEAM,FGM,FGA,FTM,FTA,3PM,PTS,TREB,AST,STL,BLK,TO
0,Nikola Jokic,DEN,10.6,17.5,6.3,7.4,2.1,29.6,12.2,10.9,1.4,0.8,3.5
1,Shai Gilgeous-Alexander,OKC,10.9,19.9,8.1,9.2,2.0,31.9,4.5,6.4,1.4,0.7,1.9
2,Kawhi Leonard,LAC,9.7,19.5,5.7,6.1,2.7,27.8,6.4,3.5,2.3,0.7,2.2
3,Victor Wembanyama,SA,8.5,16.4,5.8,6.8,1.5,24.3,11.1,3.1,0.9,2.8,3.0
4,Tyrese Maxey,PHI,10.8,22.6,5.7,6.5,3.7,30.9,4.5,6.8,1.9,0.9,2.6
5,Stephen Curry,GS,9.4,20.1,5.2,5.6,4.7,28.8,3.8,4.7,1.2,0.5,2.9
6,Luka Doncic,LAL,10.3,22.5,9.4,12.0,3.3,33.3,8.0,8.8,1.6,0.6,4.5
7,Cade Cunningham,DET,9.3,19.9,6.1,7.3,2.1,26.7,6.2,9.7,1.5,0.8,4.0
8,Donovan Mitchell,CLE,10.4,21.0,5.1,6.1,3.9,29.8,4.7,5.6,1.5,0.3,3.1
9,Jalen Johnson,ATL,8.8,16.8,4.4,5.5,1.7,23.7,10.3,8.2,1.3,0.5,3.5
10,Giannis Antetokounmpo,MIL,11.2,17.2,6.4,9.6,0.6,29.2,9.8,5.7,0.9,0.8,3.2
11,James Harden,LAC,7.3,17.1,7.7,8.6,3.2,25.6,4.8,7.9,1.3,0.3,3.7
12,Kevin Durant,HOU,9.2,17.6,5.5,6.1,2.2,26.1,5.2,4.5,0.7,1.0,3.0
13,Austin Reaves,LAL,8.2,16.2,7.5,8.6,2.7,26.6,5.2,6.3,1.0,0.2,3.3
14,Walker Kessler,UTA,5.2,7.4,2.8,4.0,1.2,14.4,10.8,3.0,1.4,1.8,3.2
15,Lauri Markkanen,UTA,9.6,19.8,5.9,6.6,2.9,27.9,7.0,2.2,1.0,0.5,1.6
16,Scottie Barnes,TOR,7.5,14.9,3.2,3.8,1.1,19.4,8.4,5.3,1.3,1.4,2.6
17,Jamal Murray,DEN,9.0,18.8,3.9,4.4,3.4,25.3,4.7,7.5,0.9,0.3,2.3
18,Trey Murphy III,NO,7.6,15.4,3.3,3.7,3.0,21.6,6.2,3.6,1.6,0.2,1.9
19,Anthony Edwards,MIN,10.0,19.9,5.6,7.1,3.3,28.9,5.0,3.8,1.3,0.8,2.7
20,Kevin Porter Jr.,MIL,6.3,13.8,3.8,4.5,1.8,18.2,5.3,7.7,2.3,0.4,3.4
21,Michael Porter Jr.,BKN,9.2,18.7,3.8,4.6,3.7,25.9,7.4,3.4,1.1,0.2,2.4
22,Derrick White,BOS,6.4,16.1,2.6,2.9,3.2,18.6,4.5,5.2,1.4,1.6,1.8
