,PLAYER,TEAM,FGM,FGA,FTM,FTA,3PM,PTS,TREB,AST,STL,BLK,TO
0,Nikola Jokic,DEN,10.6,17.5,6.3,7.4,2.1,29.6,12.2,10.9,1.4,0.8,3.5
1,Shai Gilgeous-Alexander,OKC,10.9,19.9,8.2,9.3,2.0,31.9,4.5,6.4,1.4,0.7,1.9
2,Kawhi Leonard,LAC,9.8,19.5,5.8,6.2,2.8,28.1,6.3,3.4,2.2,0.7,2.2
3,Tyrese Maxey,PHI,10.8,22.4,5.7,6.5,3.8,30.9,4.4,6.7,1.9,0.9,2.6
4,Victor Wembanyama,SA,8.4,16.4,5.7,6.8,1.5,24.0,11.0,3.0,0.8,2.7,2.9
5,Luka Doncic,LAL,10.4,22.4,9.3,11.8,3.3,33.4,7.9,8.8,1.6,0.5,4.6
6,Stephen Curry,GS,9.2,19.7,5.1,5.5,4.6,28.1,3.8,4.9,1.2,0.5,2.8
7,Cade Cunningham,DET,9.3,19.9,6.1,7.3,2.1,26.7,6.2,9.7,1.5,0.8,4.0
8,Donovan Mitchell,CLE,10.3,20.9,5.1,6.0,3.9,29.5,4.7,5.5,1.5,0.3,3.0
9,Giannis Antetokounmpo,MIL,11.1,17.1,6.4,9.8,0.5,29.1,9.7,5.7,0.9,0.8,3.3
10,James Harden,LAC,7.4,17.4,7.6,8.6,3.2,25.8,4.8,8.0,1.3,0.3,3.6
11,Jalen Johnson,ATL,8.7,16.8,4.3,5.4,1.6,23.4,10.1,8.1,1.3,0.5,3.4
12,Kevin Durant,HOU,9.3,17.8,5.4,6.1,2.2,26.1,5.4,4.5,0.7,1.0,3.0
13,Austin Reaves,LAL,8.2,16.2,7.5,8.6,2.7,26.6,5.2,6.3,1.0,0.2,3.3
14,Jamal Murray,DEN,9.1,18.8,4.0,4.5,3.5,25.6,4.6,7.5,1.0,0.3,2.3
15,Walker Kessler,UTA,5.2,7.4,2.8,4.0,1.2,14.4,10.8,3.0,1.4,1.8,3.2
16,Lauri Markkanen,UTA,9.5,19.7,6.0,6.8,2.9,27.9,7.2,2.2,1.0,0.5,1.6
17,Scottie Barnes,TOR,7.5,15.0,3.2,3.8,1.1,19.3,8.3,5.3,1.3,1.4,2.6
18,Trey Murphy III,NO,7.7,15.4,3.4,3.7,3.1,21.9,6.1,3.5,1.6,0.2,1.9
19,Anthony Edwards,MIN,10.0,19.9,5.6,7.1,3.3,28.9,5.0,3.8,1.3,0.8,2.7
20,Michael Porter Jr.,BKN,9.2,18.7,3.8,4.6,3.8,26.0,7.5,3.4,1.1,0.2,2.6
21,Kevin Porter Jr.,MIL,6.2,13.6,3.7,4.4,1.8,18.0,5.2,7.7,2.3,0.4,3.4
22,Keyonte George,UTA,7.5,16.5,6.3,7.0,2.6,23.8,4.2,6.9,1.0,0.3,3.5
23,Derrick White,BOS,6.4,16.2,2.6,2.9,3.2,18.6,4.4,5.2,1.3,1.6,1.9
24,Karl-Anthony Towns,NY,6.8,14.5,5.9,6.8,1.7,21.2,11.4,3.0,0.8,0.7,2.6
25,Chet Holmgren,OKC,6.7,11.7,3.1,3.9,1.3,17.9,8.4,1.6,0.6,1.9,1.8
26,Deni Avdija,POR,7.9,17.0,7.9,9.9,2.3,26.1,7.1,6.9,0.9,0.6,3.9
27,Anthony Davis,DAL,8.5,16.7,3.0,4.1,0.5,20.4,11.1,2.8,1.1,1.7,2.1
28,Jalen Brunson,NY,10.3,21.4,5.3,6.2,3.1,28.9,3.3,6.3,0.7,0.1,2.3
29,Jimmy Butler III,GS,6.1,11.9,6.7,7.7,0.9,19.8,5.6,4.9,1.4,0.2,1.6
30,Mikal Bridges,NY,6.4,12.6,0.8,1.1,2.3,15.9,4.7,4.4,1.6,0.9,1.1
31,Alperen Sengun,HOU,8.4,16.4,4.3,6.0,0.7,21.7,8.9,6.6,1.4,1.0,3.2
32,Zach Edey,MEM,5.6,8.9,2.3,2.9,0.1,13.6,11.1,1.1,0.6,1.9,2.4
33,Jaylen Brown,BOS,10.9,21.9,5.6,7.2,2.2,29.5,6.4,5.0,1.0,0.4,3.8
34,Alexandre Sarr,WAS,7.0,13.9,2.3,3.2,1.0,17.2,7.8,2.9,0.8,2.3,1.9
35,Evan Mobley,CLE,6.8,13.3,3.0,4.7,1.3,17.9,8.6,4.1,1.0,1.8,2.1
36,Joel Embiid,PHI,8.1,17.1,6.7,7.9,1.0,23.7,7.1,3.3,0.7,1.2,3.0
37,Norman Powell,MIA,8.0,16.4,4.9,5.7,3.1,23.9,3.8,2.6,1.3,0.2,2.0
38,Josh Giddey,CHI,6.7,14.3,4.0,5.3,1.9,19.2,9.0,9.0,0.9,0.4,3.6
