,PLAYER,TEAM,FGM,FGA,FTM,FTA,3PM,PTS,TREB,AST,STL,BLK,TO
0,Nikola Jokic,DEN,10.6,17.5,6.3,7.4,2.1,29.6,12.2,10.9,1.4,0.8,3.5
1,Shai Gilgeous-Alexander,OKC,10.8,19.7,7.9,8.9,2.0,31.6,4.4,6.4,1.4,0.6,2.0
2,Victor Wembanyama,SA,8.6,16.4,5.9,7.0,1.6,24.6,11.4,3.4,0.8,2.8,3.2
3,Kawhi Leonard,LAC,9.8,19.9,5.9,6.2,2.6,28.1,6.5,3.5,2.1,0.7,2.2
4,Tyrese Maxey,PHI,10.8,22.7,5.7,6.5,3.8,31.0,4.6,7.0,1.8,0.9,2.6
5,Luka Doncic,LAL,10.3,22.3,9.6,12.0,3.3,33.5,7.9,8.7,1.5,0.6,4.5
6,Stephen Curry,GS,9.3,20.0,5.4,5.8,4.8,28.7,3.9,4.4,1.3,0.5,3.0
7,Cade Cunningham,DET,9.3,19.9,6.1,7.3,2.1,26.7,6.2,9.7,1.5,0.8,4.0
8,Jalen Johnson,ATL,8.7,16.8,4.6,5.7,1.6,23.7,10.4,8.4,1.4,0.5,3.6
9,Donovan Mitchell,CLE,10.4,21.1,5.0,6.0,3.9,29.8,4.7,5.4,1.5,0.3,3.1
10,Giannis Antetokounmpo,MIL,11.1,17.3,6.5,9.8,0.5,29.3,10.0,5.5,0.9,0.8,3.3
11,James Harden,LAC,7.4,17.1,7.6,8.6,3.3,25.7,4.8,8.0,1.2,0.3,3.6
12,Austin Reaves,LAL,8.2,16.2,7.5,8.6,2.7,26.6,5.2,6.3,1.0,0.2,3.3
13,Scottie Barnes,TOR,7.5,14.8,2.9,3.5,1.2,19.1,8.6,5.4,1.4,1.5,2.6
14,Kevin Durant,HOU,9.0,17.3,5.6,6.3,2.1,25.7,5.1,4.6,0.7,1.0,3.1
15,Anthony Edwards,MIN,10.0,19.8,6.0,7.5,3.4,29.3,5.0,3.6,1.4,0.8,2.8
16,Walker Kessler,UTA,5.2,7.4,2.8,4.0,1.2,14.4,10.8,3.0,1.4,1.8,3.2
17,Lauri Markkanen,UTA,9.4,19.6,6.1,6.7,2.9,27.7,6.8,2.1,1.1,0.4,1.5
18,Jamal Murray,DEN,9.0,18.9,3.9,4.4,3.4,25.4,4.6,7.2,0.9,0.3,2.3
19,Kevin Porter Jr.,MIL,6.4,13.6,4.0,4.6,1.9,18.6,5.1,7.8,2.2,0.4,3.2
20,Trey Murphy III,NO,7.5,15.1,3.4,3.7,2.9,21.3,6.1,3.5,1.6,0.2,1.9
21,Keyonte George,UTA,7.6,16.7,6.5,7.2,2.7,24.3,4.2,6.8,0.9,0.3,3.5
22,Karl-Anthony Towns,NY,6.8,14.5,6.1,6.9,1.7,21.5,11.5,2.8,0.8,0.6,2.5
23,Michael Porter Jr.,BKN,9.1,18.5,3.9,4.7,3.7,25.9,7.6,3.4,0.9,0.2,2.4
24,Derrick White,BOS,6.3,15.8,2.7,3.1,3.2,18.4,4.4,5.3,1.4,1.5,1.9
25,Chet Holmgren,OKC,6.8,11.9,3.0,3.8,1.4,18.1,8.2,1.6,0.6,1.8,1.9
26,Alperen Sengun,HOU,8.3,16.3,4.4,6.0,0.7,21.8,9.0,6.5,1.5,1.0,3.3
27,Anthony Davis,DAL,8.4,16.5,3.1,4.2,0.5,20.3,11.1,2.7,1.1,1.7,2.1
28,Jimmy Butler III,GS,6.0,11.8,6.8,7.9,0.8,19.7,5.5,4.9,1.5,0.3,1.6
29,Deni Avdija,POR,7.9,16.8,7.8,9.8,2.4,25.9,7.3,7.1,0.8,0.6,3.8
30,Jalen Brunson,NY,10.4,21.8,5.4,6.4,3.0,29.2,3.3,6.3,0.8,0.1,2.3
31,Mikal Bridges,NY,6.4,12.6,0.9,1.2,2.3,16.0,4.4,4.3,1.6,0.9,1.1
32,Tyler Herro,MIA,8.1,16.3,3.7,4.0,2.3,22.3,5.6,2.4,0.9,0.4,1.3
33,Norman Powell,MIA,8.1,16.5,5.0,5.8,3.1,24.3,3.8,2.7,1.3,0.2,1.9
34,Jrue Holiday,POR,6.2,13.8,1.8,2.1,2.6,16.7,5.3,8.2,1.6,0.3,2.9
35,Zach Edey,MEM,5.6,8.9,2.3,2.9,0.1,13.6,11.1,1.1,0.6,1.9,2.4
36,Jaylen Brown,BOS,10.9,21.8,5.7,7.3,2.1,29.6,6.3,4.9,1.1,0.4,3.6
37,Alexandre Sarr,WAS,7.1,14.2,2.1,3.0,1.1,17.4,7.8,3.0,0.8,2.3,1.7
38,Devin Booker,PHO,8.5,18.3,7.2,8.4,1.6,25.7,4.0,6.3,0.9,0.4,3.4
39,Josh Giddey,CHI,6.7,14.3,4.0,5.3,1.9,19.2,9.0,9.0,0.9,0.4,3.6
40,Julius Randle,MIN,7.6,15.5,5.3,6.5,1.6,22.1,7.1,5.6,1.1,0.2,2.5
41,Kel'el Ware,MIA,4.8,8.8,1.4,1.7,1.2,12.3,10.6,0.6,0.9,1.3,1.0
42,LaMelo Ball,CHA,6.8,16.5,2.9,3.3,3.3,19.7,5.0,7.9,1.2,0.2,3.5
43,Evan Mobley,CLE,6.7,13.4,3.2,4.9,1.3,17.8,8.8,4.0,0.9,1.8,2.2
44,Franz Wagner,ORL,7.8,15.9,5.6,6.8,1.5,22.7,6.1,3.7,1.2,0.4,1.8
45,Ryan Rollins,MIL,6.6,13.6,1.7,2.2,2.4,17.2,4.3,5.8,1.6,0.4,2.4
46,Jalen Suggs,ORL,5.3,11.2,2.6,3.0,1.9,15.0,3.7,4.7,1.9,0.5,2.7
47,Onyeka Okongwu,ATL,6.1,12.5,2.2,2.8,1.9,16.2,7.8,3.2,1.1,1.0,1.8
48,Amen Thompson,HOU,7.1,13.8,3.4,4.2,0.4,18.0,7.4,5.2,1.3,0.5,2.5
49,Josh Hart,NY,4.6,9.3,1.5,1.8,1.6,12.3,8.1,5.1,1.4,0.3,2.1
50,Joel Embiid,PHI,7.9,17.2,6.5,7.8,1.0,23.4,6.9,3.4,0.6,1.2,2.8
51,De'Aaron Fox,SA,7.7,16.4,3.7,4.6,2.2,21.3,3.9,5.9,1.4,0.3,2.5
52,Kon Knueppel,CHA,6.7,13.9,2.5,2.8,3.6,19.5,5.1,3.5,0.7,0.2,2.5
53,Cooper Flagg,DAL,7.2,15.1,3.6,4.4,0.9,18.9,6.5,4.2,1.2,0.8,2.2
54,Jalen Duren,DET,7.0,11.0,4.0,5.5,0.0,17.9,10.6,1.7,0.9,0.9,2.3
55,DeMar DeRozan,SAC,6.6,13.2,4.4,5.0,0.8,18.4,3.4,3.8,1.4,0.3,1.1
56,LeBron James,LAL,8.0,15.6,4.2,5.8,1.6,21.8,5.4,6.8,1.0,0.6,2.5
57,Desmond Bane,ORL,6.9,15.3,3.5,3.8,1.8,19.2,4.6,4.6,0.8,0.5,2.2
