,PLAYER,TEAM,FGM,FGA,FTM,FTA,3PM,PTS,TREB,AST,STL,BLK,TO
362,Wendell Moore Jr.,DET,1.0,2.0,0.0,0.0,0.0,2.0,1.3,1.0,0.7,0.3,0.3
363,Devin Carter,SAC,1.2,3.5,0.7,0.7,0.5,3.6,1.3,1.3,0.6,0.2,0.8
364,Jamir Watkins,WAS,1.0,2.0,0.6,0.6,0.4,2.9,2.4,0.4,0.3,0.2,0.4
365,Charles Bassey,MEM,1.5,4.0,0.5,1.5,0.0,3.5,7.5,1.0,0.5,0.5,0.5
366,Xavier Tillman,BOS,1.3,2.5,0.0,0.0,0.3,2.8,2.2,0.5,0.5,0.2,0.4
367,Liam McNeeley,CHA,1.4,3.5,1.0,1.1,0.9,4.7,2.3,0.9,0.2,0.1,0.5
368,Dalen Terry,CHI,1.2,2.7,0.2,0.4,0.2,2.8,1.7,1.3,0.7,0.3,0.7
369,Jalen Pickett,DEN,1.3,3.2,0.2,0.2,0.7,3.5,1.7,1.7,0.2,0.2,0.6
370,Baylor Scheierman,BOS,1.0,2.0,0.0,0.0,0.7,2.7,1.7,0.7,0.4,0.1,0.4
371,Dorian Finney-Smith,HOU,0.8,2.5,0.0,0.0,0.8,2.3,2.0,0.8,0.5,0.3,0.5
372,Moussa Cisse,DAL,1.2,1.9,0.7,1.6,0.0,3.0,3.5,0.2,0.3,1.0,0.7
373,Jett Howard,ORL,1.7,4.1,0.4,0.4,1.0,4.8,1.3,0.8,0.2,0.1,0.2
374,Isaiah Livers,PHO,0.7,2.0,0.3,0.4,0.5,2.2,2.2,0.7,0.4,0.3,0.4
375,David Jones-Garcia,SA,1.3,2.5,0.3,0.6,0.3,3.2,1.2,1.8,0.6,0.1,0.5
376,Jaylen Clark,MIN,1.5,3.6,0.8,1.4,0.5,4.5,1.9,0.5,0.8,0.2,0.4
377,Jabari Walker,PHI,1.4,3.3,0.9,1.3,0.4,4.1,3.5,0.5,0.2,0.3,0.5
378,Kelly Olynyk,SA,1.3,2.5,0.9,1.3,0.4,3.8,2.2,1.5,0.4,0.0,0.6
379,Dwight Powell,DAL,0.8,1.3,1.1,1.7,0.0,2.7,2.8,0.9,0.5,0.3,0.4
380,Johnny Furphy,IND,1.8,3.4,0.3,0.6,0.6,4.5,2.6,0.3,0.5,0.0,0.5
381,Gui Santos,GS,1.2,2.7,0.4,0.6,0.6,3.5,2.2,0.8,0.4,0.1,0.8
382,Micah Peavy,NO,1.8,4.5,0.4,0.5,0.4,4.4,2.1,0.9,0.5,0.1,0.3
383,Jase Richardson,ORL,1.8,3.8,0.7,0.9,0.6,4.9,1.4,1.3,0.3,0.0,0.6
384,Will Riley,WAS,1.7,4.0,0.8,1.1,0.4,4.6,1.8,1.2,0.4,0.1,0.5
385,Luke Travers,CLE,0.8,3.0,0.8,0.8,0.1,2.3,2.0,0.8,0.6,0.3,0.3
386,Julian Phillips,CHI,1.1,2.5,0.2,0.3,0.4,2.8,1.3,0.3,0.5,0.2,0.1
387,Jaden Hardy,DAL,1.9,4.8,0.9,1.0,1.1,5.8,1.3,0.6,0.2,0.1,0.8
388,DeAndre Jordan,NO,2.0,2.5,0.5,1.0,0.0,4.5,5.0,0.0,0.0,0.0,0.5
389,Jamison Battle,TOR,1.3,2.2,0.2,0.2,0.6,3.4,1.4,0.4,0.2,0.0,0.3
390,Rob Dillingham,MIN,1.5,4.3,0.5,0.6,0.4,3.9,1.3,1.9,0.6,0.1,1.0
391,Jae'Sean Tate,HOU,1.2,2.3,0.2,0.2,0.3,2.8,1.5,0.6,0.2,0.2,0.2
392,RayJ Dennis,LAC,1.6,5.1,0.6,0.6,0.9,4.6,1.6,1.9,0.2,0.3,1.1
393,Mason Plumlee,CHA,0.6,0.9,0.6,0.9,0.0,1.9,2.9,1.1,0.4,0.0,0.6
394,Nick Richards,PHO,1.3,2.7,0.7,1.1,0.0,3.3,3.5,0.3,0.1,0.5,0.9
395,Ron Harper Jr.,BOS,0.8,2.5,0.0,0.0,0.5,2.0,0.8,1.0,0.3,0.5,0.0
396,Doug McDermott,SAC,1.4,3.2,0.0,0.0,1.4,4.2,0.8,0.2,0.0,0.2,0.4
397,Bradley Beal,LAC,3.0,8.0,1.0,1.3,1.2,8.2,0.8,1.7,0.5,0.0,1.5
398,Jordan McLaughlin,SA,1.0,2.1,0.3,0.4,0.4,2.7,0.6,0.9,0.5,0.0,0.3
399,Pat Connaughton,CHA,1.2,2.4,0.4,0.7,0.6,3.4,1.6,0.5,0.3,0.1,0.2
400,Ariel Hukporti,NY,0.6,1.1,0.3,0.6,0.0,1.5,2.5,0.6,0.2,0.5,0.6
401,Riley Minix,SA,1.3,2.0,0.0,0.0,0.3,3.0,0.7,0.3,0.3,0.0,0.0
402,Kobe Brown,LAC,1.1,3.0,0.7,0.8,0.5,3.3,1.9,1.0,0.3,0.1,0.5
403,Kam Jones,IND,1.4,2.4,0.0,0.0,0.2,3.0,0.6,0.6,0.4,0.0,0.0
404,Tyrese Proctor,CLE,1.7,4.9,0.8,0.9,0.9,5.0,1.4,1.4,0.3,0.0,0.4
405,Yanic Konan Niederhauser,LAC,1.4,2.1,0.7,1.2,0.0,3.5,2.2,0.4,0.1,0.5,0.5
406,Javon Small,MEM,1.1,3.4,0.7,0.9,0.6,3.5,1.2,2.9,0.1,0.1,0.9
407,Antonio Reeves,CHA,1.3,2.7,0.0,0.0,0.8,3.5,0.8,0.3,0.2,0.0,0.0
408,Tony Bradley,IND,1.6,2.9,0.9,1.2,0.0,4.1,2.7,0.5,0.1,0.1,0.4
409,Chris Manon,LAL,0.0,0.3,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.7,0.0
410,Jonathan Isaac,ORL,1.0,2.3,0.7,1.3,0.2,2.9,2.9,0.1,0.4,0.5,0.3
411,Duop Reath,POR,1.0,2.3,0.1,0.1,0.7,2.9,0.8,0.3,0.2,0.2,0.3
412,Keshad Johnson,MIA,1.1,3.2,0.6,0.9,0.4,3.3,2.4,0.1,0.4,0.3,0.2
413,Chris Livingston,CLE,1.3,2.3,0.3,0.3,0.0,3.0,1.0,0.3,0.3,0.0,0.0
414,Mo Bamba,TOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
415,Chaz Lanier,DET,1.0,3.0,0.4,0.4,0.9,3.2,1.0,0.7,0.3,0.0,0.1
416,Orlando Robinson,ORL,0.8,1.3,0.0,0.0,0.3,1.8,1.0,0.8,0.3,0.0,0.0
417,Nolan Traore,BKN,1.2,3.6,0.3,0.5,0.6,3.3,0.8,1.6,0.5,0.2,1.0
418,Maxi Kleber,LAL,0.6,1.8,0.5,0.6,0.2,1.8,1.7,0.7,0.3,0.3,0.4
419,Kevin McCullar Jr.,NY,1.2,1.8,0.3,0.8,0.8,3.5,1.8,0.8,0.3,0.0,0.8
420,Elijah Harkless,UTA,0.6,1.6,1.0,1.3,0.3,2.4,0.9,0.7,0.6,0.0,0.4
421,Hunter Dickinson,NO,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0
422,Colby Jones,DET,1.0,3.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0
423,Malaki Branham,WAS,1.2,2.8,1.1,1.3,0.2,3.8,1.6,0.7,0.1,0.1,0.5
424,Bronny James Jr.,LAL,0.6,1.9,0.1,0.1,0.3,1.6,0.6,1.3,0.5,0.1,0.7
425,Yang Hansen,POR,0.9,2.9,0.6,0.7,0.2,2.6,1.9,0.8,0.1,0.4,0.8
426,Terrence Shannon Jr.,MIN,1.5,3.7,1.0,1.2,0.7,4.5,1.3,0.6,0.3,0.0,0.7
427,Jamal Cain,ORL,1.0,2.5,1.2,1.5,0.3,3.5,0.8,0.4,0.4,0.1,0.4
428,Trey Jemison III,NY,0.6,0.6,0.2,0.2,0.0,1.4,1.8,0.2,0.0,0.2,0.6
429,Caleb Martin,DAL,0.6,1.7,0.3,0.4,0.1,1.6,1.5,1.0,0.4,0.1,0.4
430,PJ Hall,CHA,1.2,2.0,0.7,1.1,0.1,3.2,2.2,0.4,0.1,0.2,0.3
431,James Wiseman,IND,1.5,2.5,0.3,0.5,0.0,3.3,2.0,0.8,0.0,0.3,1.3
432,Caleb Houstan,ATL,0.8,1.6,0.4,0.4,0.6,2.5,0.6,0.3,0.1,0.1,0.5
433,Jalen Wilson,BKN,1.5,4.1,1.0,1.2,1.0,5.0,1.1,0.5,0.2,0.0,0.5
434,Cody Martin,IND,0.5,2.5,0.8,1.5,0.0,1.8,3.5,0.5,1.0,0.5,1.0
435,Joan Beringer,MIN,0.7,1.1,0.2,0.3,0.0,1.5,1.4,0.0,0.1,0.4,0.3
436,Guerschon Yabusele,NY,1.1,2.8,0.2,0.4,0.6,3.1,2.1,0.4,0.1,0.1,0.4
437,Zeke Nnaji,DEN,0.8,1.5,0.4,0.6,0.2,2.1,1.4,0.3,0.2,0.2,0.4
438,Emanuel Miller,CHI,1.2,2.6,0.2,0.4,0.4,3.0,0.6,0.8,0.4,0.0,0.0
439,Jonathan Mogbo,TOR,0.5,0.9,0.1,0.1,0.0,1.0,1.2,0.5,0.2,0.2,0.1
440,Mohamed Diawara,NY,0.9,2.0,0.0,0.2,0.5,2.3,0.9,0.5,0.3,0.1,0.3
441,Oscar Tshiebwe,UTA,1.0,4.0,0.0,1.0,0.0,2.0,6.0,1.0,1.0,0.0,0.0
442,Kyle Lowry,PHI,0.4,1.0,0.0,0.0,0.4,1.2,0.6,1.4,0.2,0.0,0.4
443,Rasheer Fleming,PHO,1.0,2.8,0.4,0.5,0.3,2.7,1.2,0.2,0.3,0.2,0.2
444,Brooks Barnhizer,OKC,0.6,1.3,0.2,0.3,0.1,1.5,1.8,0.5,0.2,0.1,0.2
445,Jordan Hawkins,NO,1.8,5.3,0.4,0.5,1.0,4.9,1.7,0.8,0.1,0.1,0.5
446,Thanasis Antetokounmpo,MIL,0.5,0.8,0.5,0.8,0.0,1.6,0.5,0.0,0.3,0.3,0.1
447,N'Faly Dante,ATL,0.3,1.0,0.3,0.3,0.0,0.8,1.8,0.0,0.5,0.0,0.3
448,Rayan Rupert,POR,0.9,2.4,0.1,0.1,0.3,2.1,1.6,0.5,0.3,0.1,0.4
449,Andre Jackson Jr.,MIL,0.5,1.6,0.3,0.4,0.2,1.5,0.8,1.1,0.3,0.1,0.4
450,Drew Timme,LAL,0.3,0.7,0.0,0.0,0.0,0.7,1.0,1.0,0.3,0.0,0.3
451,Khaman Maluach,PHO,0.4,1.1,0.5,0.5,0.0,1.3,0.9,0.1,0.0,0.5,0.5
452,Lindy Waters III,SA,0.8,1.9,0.0,0.0,0.6,2.1,0.9,0.3,0.2,0.0,0.1
453,Cam Christie,LAC,1.0,3.0,1.0,1.4,0.4,3.5,1.8,0.6,0.3,0.1,0.3
454,Koby Brea,PHO,0.5,1.5,1.0,1.0,0.0,2.0,0.5,1.0,0.0,0.0,0.0
455,JD Davison,HOU,0.6,1.3,0.2,0.4,0.3,1.6,0.4,0.9,0.3,0.1,0.3
456,Amari Williams,BOS,0.2,0.3,0.2,0.3,0.0,0.5,1.2,0.2,0.2,0.3,0.0
457,Jacob Toppin,ATL,0.8,1.2,0.0,0.0,0.0,1.6,0.4,0.2,0.0,0.2,0.0
458,Adou Thiero,LAL,0.5,1.2,0.4,0.5,0.0,1.3,1.2,0.3,0.3,0.1,0.3
459,Monte Morris,IND,1.2,3.3,0.3,0.7,0.3,3.0,1.2,1.5,0.2,0.2,0.3
460,Harrison Ingram,SA,0.7,1.0,0.0,0.0,0.3,1.7,1.0,0.0,0.0,0.0,0.0
461,Bismack Biyombo,SA,0.4,0.6,0.1,0.2,0.0,0.9,0.7,0.3,0.3,0.1,0.3
462,Carter Bryant,SA,0.8,2.5,0.2,0.2,0.4,2.2,1.6,0.2,0.2,0.1,0.4
463,Taelon Peter,IND,0.5,1.7,0.2,0.3,0.5,1.7,1.0,0.7,0.2,0.1,0.5
464,Julian Strawther,DEN,1.3,3.4,1.1,1.4,0.3,3.9,1.3,0.6,0.1,0.1,0.4
465,Jeff Green,HOU,0.8,1.6,0.0,0.0,0.5,2.1,0.4,0.1,0.0,0.1,0.1
466,Myron Gardner,MIA,0.5,1.3,0.0,0.0,0.4,1.4,1.0,0.3,0.1,0.0,0.0
467,Cody Williams,UTA,1.5,4.0,0.4,0.6,0.3,3.6,1.2,0.6,0.2,0.2,0.4
468,Jahmir Young,MIA,0.8,2.2,0.0,0.0,0.4,2.0,0.4,0.8,0.2,0.0,0.4
469,Nigel Hayes,PHO,0.7,2.0,0.0,0.1,0.1,1.5,1.3,0.3,0.4,0.0,0.3
470,Pete Nance,MIL,0.8,1.6,0.0,0.0,0.4,2.0,0.8,0.1,0.0,0.0,0.2
471,Trentyn Flowers,CHI,1.0,1.5,0.0,0.0,0.0,2.0,0.5,0.5,0.0,0.0,0.5
472,Anthony Gill,WAS,0.5,0.8,0.3,0.3,0.1,1.3,0.7,0.0,0.0,0.1,0.3
473,Brandon Clarke,MEM,1.5,4.5,1.0,2.0,0.0,4.0,3.0,0.5,1.0,0.0,0.0
474,Johnny Juzang,MIN,0.8,1.7,0.1,0.2,0.4,2.0,0.7,0.3,0.1,0.0,0.1
475,Leonard Miller,MIN,0.8,1.5,0.3,0.6,0.1,2.1,1.1,0.3,0.2,0.0,0.4
476,Amir Coffey,MIL,0.5,1.2,0.3,0.3,0.1,1.5,0.7,0.4,0.0,0.0,0.1
477,Mark Sears,MIL,0.9,1.9,0.9,1.1,0.6,3.1,0.3,0.3,0.0,0.0,0.6
478,Chris Youngblood,OKC,0.5,1.5,0.3,0.3,0.4,1.6,0.8,0.3,0.0,0.0,0.0
479,Jahmai Mashack,MEM,0.3,1.2,0.0,0.0,0.3,1.0,0.8,0.3,0.2,0.0,0.5
480,Miles Kelly,DAL,0.5,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.5
481,E.J. Liddell,BKN,0.7,1.7,0.3,0.4,0.3,2.0,1.3,0.0,0.0,0.0,0.0
482,Garrett Temple,TOR,0.1,0.7,0.1,0.2,0.1,0.4,0.4,0.3,0.3,0.1,0.3
483,Alijah Martin,TOR,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
484,Hunter Tyson,DEN,0.4,1.8,0.2,0.2,0.2,1.2,1.3,0.3,0.1,0.0,0.0
485,Dario Saric,SAC,0.2,1.2,0.4,0.4,0.2,1.0,1.2,0.4,0.0,0.0,0.4
486,Vladislav Goldin,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
487,Lachlan Olbrich,CHI,0.2,1.2,0.0,0.0,0.0,0.4,2.2,0.6,0.0,0.0,0.4
488,Javonte Cooke,POR,0.6,2.4,0.0,0.0,0.2,1.4,0.6,1.0,0.2,0.0,0.8
489,Pacome Dadiet,NY,0.1,0.7,0.2,0.2,0.0,0.4,0.6,0.4,0.1,0.0,0.0
490,Hunter Sallis,PHI,0.4,0.7,0.1,0.3,0.0,1.0,0.1,0.6,0.0,0.1,0.7
491,Bobi Klintman,DET,1.2,3.5,0.0,0.5,0.5,2.8,2.7,0.7,0.3,0.0,0.8
492,Joe Ingles,MIN,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.7,0.1,0.0,0.1
493,Drew Peterson,CHA,0.3,2.7,0.2,0.3,0.0,0.8,1.5,0.3,0.5,0.2,0.0
494,AJ Johnson,WAS,0.3,1.4,0.2,0.3,0.1,1.0,0.5,0.5,0.1,0.0,0.3
495,Tyson Etienne,BKN,0.5,1.9,0.0,0.0,0.5,1.5,0.0,0.1,0.0,0.0,0.1
